Sun 09 Nov 2025 00:24:21 IST

SLURM_JOBID:		 8041820
SLURM_JOB_NODELIST:	 ise-pheno-08 

configuration parmas running: problem_type=brax es_algorithms=LES
Loading Problems ..:   0%|                                                              | 0/12 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/brax/io/mjcf.py:480: UserWarning: Brax System, piplines and environments are not actively being maintained. Please see MJX for a well maintained JAX-based physics engine: https://github.com/google-deepmind/mujoco/tree/main/mjx. For a host of environments that use MJX, see: https://github.com/google-deepmind/mujoco_playground.
  warnings.warn(
E1109 00:24:42.982046 2942615 hlo_lexer.cc:443] Failed to parse int literal: 1986902096214075708017
Successfully loaded: ant

running the experiment ... [../../results/BraxProblem/ant/LearnedES/0]
Generation 080 | Best fitness (Train): -3.71 | Best fitness in generation (Train): -6.49 | Mean fitness (Train): -31.71 | Mean fitness (Test): -13.97
Generation 090 | Best fitness (Train): -3.71 | Best fitness in generation (Train): -5.27 | Mean fitness (Train): -31.71 | Mean fitness (Test): -29.79
Generation 100 | Best fitness (Train): -3.71 | Best fitness in generation (Train): -5.62 | Mean fitness (Train): -35.75 | Mean fitness (Test): -34.33
Generation 110 | Best fitness (Train): -3.71 | Best fitness in generation (Train): -7.10 | Mean fitness (Train): -40.19 | Mean fitness (Test): -89.93
Generation 120 | Best fitness (Train): -3.71 | Best fitness in generation (Train): -10.98 | Mean fitness (Train): -39.59 | Mean fitness (Test): -52.50
Generation 130 | Best fitness (Train): -3.71 | Best fitness in generation (Train): -5.75 | Mean fitness (Train): -37.21 | Mean fitness (Test): -33.07
Generation 140 | Best fitness (Train): -3.71 | Best fitness in generation (Train): -11.55 | Mean fitness (Train): -44.30 | Mean fitness (Test): -55.27
Generation 150 | Best fitness (Train): -2.95 | Best fitness in generation (Train): -6.76 | Mean fitness (Train): -28.05 | Mean fitness (Test): -12.44
Generation 160 | Best fitness (Train): -2.95 | Best fitness in generation (Train): -4.52 | Mean fitness (Train): -24.94 | Mean fitness (Test): -14.72
Generation 170 | Best fitness (Train): -2.95 | Best fitness in generation (Train): -6.90 | Mean fitness (Train): -41.13 | Mean fitness (Test): -7.40
