Sun 09 Nov 2025 00:24:20 IST

SLURM_JOBID:		 8041819
SLURM_JOB_NODELIST:	 cs-pheno-11 

configuration parmas running: problem_type=brax es_algorithms=SNES
Loading Problems ..:   0%|                                                              | 0/12 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/brax/io/mjcf.py:480: UserWarning: Brax System, piplines and environments are not actively being maintained. Please see MJX for a well maintained JAX-based physics engine: https://github.com/google-deepmind/mujoco/tree/main/mjx. For a host of environments that use MJX, see: https://github.com/google-deepmind/mujoco_playground.
  warnings.warn(
E1109 00:24:42.994873 2077099 hlo_lexer.cc:443] Failed to parse int literal: 1986902096214075708017
Successfully loaded: ant

running the experiment ... [../../results/BraxProblem/ant/SNES/0]
Generation 880 | Best fitness (Train): 6.58 | Best fitness in generation (Train): -4.76 | Mean fitness (Train): -43.12 | Mean fitness (Test): -86.65
Generation 890 | Best fitness (Train): 6.58 | Best fitness in generation (Train): -4.76 | Mean fitness (Train): -12.92 | Mean fitness (Test): -12.65
Generation 900 | Best fitness (Train): 6.58 | Best fitness in generation (Train): -4.93 | Mean fitness (Train): -7.58 | Mean fitness (Test): -6.66
Generation 910 | Best fitness (Train): 6.58 | Best fitness in generation (Train): -4.91 | Mean fitness (Train): -12.10 | Mean fitness (Test): -6.51
Generation 920 | Best fitness (Train): 6.58 | Best fitness in generation (Train): -5.94 | Mean fitness (Train): -13.04 | Mean fitness (Test): -6.86
Generation 930 | Best fitness (Train): 6.58 | Best fitness in generation (Train): -5.74 | Mean fitness (Train): -13.06 | Mean fitness (Test): -9.24
Generation 940 | Best fitness (Train): 6.58 | Best fitness in generation (Train): -4.60 | Mean fitness (Train): -12.12 | Mean fitness (Test): -51.76
Generation 950 | Best fitness (Train): 6.58 | Best fitness in generation (Train): -5.47 | Mean fitness (Train): -9.65 | Mean fitness (Test): -8.06
Generation 960 | Best fitness (Train): 6.58 | Best fitness in generation (Train): -4.82 | Mean fitness (Train): -12.21 | Mean fitness (Test): -10.35
Generation 970 | Best fitness (Train): 6.58 | Best fitness in generation (Train): -6.19 | Mean fitness (Train): -17.04 | Mean fitness (Test): -16.01
Generation 980 | Best fitness (Train): 6.58 | Best fitness in generation (Train): -4.52 | Mean fitness (Train): -16.87 | Mean fitness (Test): -10.19
Generation 990 | Best fitness (Train): 6.58 | Best fitness in generation (Train): -5.27 | Mean fitness (Train): -54.79 | Mean fitness (Test): -60.76
Generation 1000 | Best fitness (Train): 6.58 | Best fitness in generation (Train): -4.98 | Mean fitness (Train): -18.57 | Mean fitness (Test): -11.03
running the experiment ... [../../results/BraxProblem/ant/SNES/1]
Generation 010 | Best fitness (Train): -4.87 | Best fitness in generation (Train): -7.30 | Mean fitness (Train): -50.22 | Mean fitness (Test): -149.39
Generation 020 | Best fitness (Train): -4.13 | Best fitness in generation (Train): -9.02 | Mean fitness (Train): -54.21 | Mean fitness (Test): -15.93
Generation 030 | Best fitness (Train): -3.84 | Best fitness in generation (Train): -3.84 | Mean fitness (Train): -45.66 | Mean fitness (Test): -24.72
Generation 040 | Best fitness (Train): -3.84 | Best fitness in generation (Train): -4.97 | Mean fitness (Train): -58.86 | Mean fitness (Test): -58.05
Generation 050 | Best fitness (Train): -2.59 | Best fitness in generation (Train): -6.51 | Mean fitness (Train): -43.64 | Mean fitness (Test): -19.10
Generation 060 | Best fitness (Train): -2.59 | Best fitness in generation (Train): -2.83 | Mean fitness (Train): -56.57 | Mean fitness (Test): -28.61
Generation 070 | Best fitness (Train): -0.84 | Best fitness in generation (Train): -8.89 | Mean fitness (Train): -48.88 | Mean fitness (Test): -12.86
Generation 080 | Best fitness (Train): -0.84 | Best fitness in generation (Train): -6.38 | Mean fitness (Train): -48.77 | Mean fitness (Test): -7.78
Generation 090 | Best fitness (Train): -0.84 | Best fitness in generation (Train): -8.00 | Mean fitness (Train): -40.07 | Mean fitness (Test): -9.83
Generation 100 | Best fitness (Train): -0.84 | Best fitness in generation (Train): -6.85 | Mean fitness (Train): -35.86 | Mean fitness (Test): -14.18
Generation 110 | Best fitness (Train): -0.84 | Best fitness in generation (Train): -5.45 | Mean fitness (Train): -36.18 | Mean fitness (Test): -11.57
Generation 120 | Best fitness (Train): -0.84 | Best fitness in generation (Train): -5.16 | Mean fitness (Train): -26.30 | Mean fitness (Test): -15.79
Generation 130 | Best fitness (Train): -0.84 | Best fitness in generation (Train): -7.61 | Mean fitness (Train): -29.08 | Mean fitness (Test): -112.40
Generation 140 | Best fitness (Train): -0.84 | Best fitness in generation (Train): -4.62 | Mean fitness (Train): -45.55 | Mean fitness (Test): -19.01
Generation 150 | Best fitness (Train): -0.84 | Best fitness in generation (Train): -7.75 | Mean fitness (Train): -16.12 | Mean fitness (Test): -9.40
Generation 160 | Best fitness (Train): -0.84 | Best fitness in generation (Train): -7.26 | Mean fitness (Train): -31.36 | Mean fitness (Test): -11.60
Generation 170 | Best fitness (Train): -0.84 | Best fitness in generation (Train): -5.38 | Mean fitness (Train): -40.52 | Mean fitness (Test): -33.66
Generation 180 | Best fitness (Train): -0.84 | Best fitness in generation (Train): -5.14 | Mean fitness (Train): -27.61 | Mean fitness (Test): -35.17
Generation 190 | Best fitness (Train): -0.84 | Best fitness in generation (Train): -6.43 | Mean fitness (Train): -20.07 | Mean fitness (Test): -15.83
