Sun 09 Nov 2025 00:24:20 IST

SLURM_JOBID:		 8041817
SLURM_JOB_NODELIST:	 cs-pheno-03 

configuration parmas running: problem_type=brax es_algorithms=PGPE
Loading Problems ..:   0%|                                                              | 0/12 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/brax/io/mjcf.py:480: UserWarning: Brax System, piplines and environments are not actively being maintained. Please see MJX for a well maintained JAX-based physics engine: https://github.com/google-deepmind/mujoco/tree/main/mjx. For a host of environments that use MJX, see: https://github.com/google-deepmind/mujoco_playground.
  warnings.warn(
E1109 00:24:39.103892 1693476 hlo_lexer.cc:443] Failed to parse int literal: 1986902096214075708017
Successfully loaded: ant

running the experiment ... [../../results/BraxProblem/ant/PGPE/0]
Generation 260 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -3.27 | Mean fitness (Train): -45.19 | Mean fitness (Test): -6.29
Generation 270 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -7.10 | Mean fitness (Train): -43.14 | Mean fitness (Test): -1.34
Generation 280 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -7.00 | Mean fitness (Train): -52.39 | Mean fitness (Test): -24.70
Generation 290 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -12.49 | Mean fitness (Train): -52.61 | Mean fitness (Test): -53.68
Generation 300 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -5.24 | Mean fitness (Train): -49.44 | Mean fitness (Test): -19.43
Generation 310 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -4.67 | Mean fitness (Train): -50.56 | Mean fitness (Test): -18.58
Generation 320 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -6.47 | Mean fitness (Train): -50.01 | Mean fitness (Test): -44.14
Generation 330 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -5.91 | Mean fitness (Train): -51.82 | Mean fitness (Test): -14.73
Generation 340 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -5.65 | Mean fitness (Train): -46.47 | Mean fitness (Test): -5.10
Generation 350 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -5.17 | Mean fitness (Train): -49.09 | Mean fitness (Test): -4.56
Generation 360 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -4.87 | Mean fitness (Train): -52.06 | Mean fitness (Test): -11.55
Generation 370 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -8.05 | Mean fitness (Train): -46.95 | Mean fitness (Test): -7.99
Generation 380 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -6.18 | Mean fitness (Train): -50.04 | Mean fitness (Test): -49.02
Generation 390 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -4.64 | Mean fitness (Train): -45.54 | Mean fitness (Test): -35.11
Generation 400 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -5.40 | Mean fitness (Train): -46.90 | Mean fitness (Test): -48.69
Generation 410 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -4.18 | Mean fitness (Train): -39.12 | Mean fitness (Test): -28.99
Generation 420 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -6.28 | Mean fitness (Train): -51.23 | Mean fitness (Test): -10.33
Generation 430 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -8.58 | Mean fitness (Train): -48.76 | Mean fitness (Test): -36.05
Generation 440 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -6.75 | Mean fitness (Train): -45.98 | Mean fitness (Test): -19.46
Generation 450 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -5.96 | Mean fitness (Train): -47.75 | Mean fitness (Test): -26.62
Generation 460 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -6.60 | Mean fitness (Train): -44.68 | Mean fitness (Test): -18.37
Generation 470 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -6.97 | Mean fitness (Train): -47.89 | Mean fitness (Test): -11.78
Generation 480 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -5.80 | Mean fitness (Train): -50.34 | Mean fitness (Test): -121.03
Generation 490 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -4.01 | Mean fitness (Train): -49.06 | Mean fitness (Test): -29.24
Generation 500 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -6.21 | Mean fitness (Train): -41.97 | Mean fitness (Test): -31.81
Generation 510 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -4.84 | Mean fitness (Train): -47.26 | Mean fitness (Test): -19.61
Generation 520 | Best fitness (Train): 13.72 | Best fitness in generation (Train): -6.15 | Mean fitness (Train): -43.67 | Mean fitness (Test): -19.16
