Sat 15 Nov 2025 22:55:10 IST

SLURM_JOBID:		 8184813
SLURM_JOB_NODELIST:	 cs-pheno-10 

configuration parmas running: problem_type=gymnax es_algorithms=SNES
Loading Problems ..:   0%|                                                                                                                                             | 0/4 [00:00<?, ?it/s]/home/ronedr/.conda/envs/ronedr_es_env/lib/python3.10/site-packages/jax/_src/ops/scatter.py:93: FutureWarning: scatter inputs have incompatible types: cannot safely cast value from dtype=int32 to dtype=bool with jax_numpy_dtype_promotion='standard'. In future JAX releases this will result in an error.
  warnings.warn(
Successfully loaded: Asterix-MinAtar

running the experiment ... [../../results/GymnaxProblem/Asterix-MinAtar/SNES/0]
Generation 930 | Best fitness (Train): 13.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 0.11 | Mean fitness (Test): 0.00
Generation 940 | Best fitness (Train): 13.00 | Best fitness in generation (Train): 10.00 | Mean fitness (Train): 1.25 | Mean fitness (Test): 4.00
Generation 950 | Best fitness (Train): 13.00 | Best fitness in generation (Train): 7.00 | Mean fitness (Train): 0.68 | Mean fitness (Test): 1.00
Generation 960 | Best fitness (Train): 13.00 | Best fitness in generation (Train): 7.00 | Mean fitness (Train): 0.64 | Mean fitness (Test): 0.00
Generation 970 | Best fitness (Train): 13.00 | Best fitness in generation (Train): 7.00 | Mean fitness (Train): 1.24 | Mean fitness (Test): 4.00
Generation 980 | Best fitness (Train): 13.00 | Best fitness in generation (Train): 10.00 | Mean fitness (Train): 1.60 | Mean fitness (Test): 2.00
Generation 990 | Best fitness (Train): 13.00 | Best fitness in generation (Train): 6.00 | Mean fitness (Train): 0.63 | Mean fitness (Test): 0.00
Generation 1000 | Best fitness (Train): 13.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 0.63 | Mean fitness (Test): 2.00
Generation 1010 | Best fitness (Train): 13.00 | Best fitness in generation (Train): 4.00 | Mean fitness (Train): 0.53 | Mean fitness (Test): 3.00
Generation 1020 | Best fitness (Train): 13.00 | Best fitness in generation (Train): 2.00 | Mean fitness (Train): 0.07 | Mean fitness (Test): 1.00
Generation 1030 | Best fitness (Train): 13.00 | Best fitness in generation (Train): 6.00 | Mean fitness (Train): 1.46 | Mean fitness (Test): 1.00
Generation 1040 | Best fitness (Train): 13.00 | Best fitness in generation (Train): 8.00 | Mean fitness (Train): 1.46 | Mean fitness (Test): 2.00
Generation 1050 | Best fitness (Train): 13.00 | Best fitness in generation (Train): 6.00 | Mean fitness (Train): 0.18 | Mean fitness (Test): 1.00
Generation 1060 | Best fitness (Train): 13.00 | Best fitness in generation (Train): 11.00 | Mean fitness (Train): 1.42 | Mean fitness (Test): 1.00
Generation 1070 | Best fitness (Train): 13.00 | Best fitness in generation (Train): 6.00 | Mean fitness (Train): 0.50 | Mean fitness (Test): 1.00
Generation 1080 | Best fitness (Train): 13.00 | Best fitness in generation (Train): 5.00 | Mean fitness (Train): 0.80 | Mean fitness (Test): 0.00
Generation 1090 | Best fitness (Train): 13.00 | Best fitness in generation (Train): 6.00 | Mean fitness (Train): 1.50 | Mean fitness (Test): 4.00
Generation 1100 | Best fitness (Train): 13.00 | Best fitness in generation (Train): 3.00 | Mean fitness (Train): 0.12 | Mean fitness (Test): 0.00
Generation 1110 | Best fitness (Train): 13.00 | Best fitness in generation (Train): 13.00 | Mean fitness (Train): 1.54 | Mean fitness (Test): 1.00
